files,Classes ,Methods ,Added ,Lines ,Removed ,Modified ,Chunks ,Failingtests ,RelevantTestCount,StatementCoverage,RepairActions ,RepairPatterns ,correct
1,1,1,0,1,0,1,1,1,436,57.8,1,2,1
1,1,1,0,1,0,1,1,1,1,100,2,2,1
1,1,1,0,1,0,1,1,1,543,40.9,2,3,1
1,1,1,0,1,0,1,1,1,201,32.1,3,3,1
1,1,1,0,1,0,1,1,1,195,63.3,6,5,0
2,2,4,12,12,0,0,4,4,519,73.5,2,3,1
1,1,2,5,5,0,0,3,1,199,79.7,2,4,0
1,1,1,1,2,0,1,1,1,60,75.6,5,2,0
2,2,3,10,13,2,1,6,4,327,87.1,9,4,0
1,1,2,6,6,0,0,2,2,366,76.7,3,3,1
1,1,1,0,1,0,1,1,1,296,86.4,2,3,1
1,1,2,39,39,0,0,4,1,17,84.3,6,3,0
1,1,3,30,33,1,2,7,6,51,80.6,11,5,0
1,1,1,0,1,0,1,1,1,15,96,2,4,1
1,1,2,12,14,0,2,6,4,9,69.4,7,6,0
1,1,1,2,2,0,0,2,22,543,89.9,1,2,1
1,1,1,2,2,0,0,1,1,86,79.4,1,2,1
1,1,1,2,2,0,0,2,22,431,70.6,1,2,1
1,1,1,4,5,0,1,2,1,292,76.6,4,2,1
1,1,1,7,8,0,1,1,2,486,93.1,8,2,0
1,1,1,0,2,0,2,2,1,16,88.6,3,3,1
1,1,1,0,1,0,1,1,1,23,48.8,2,3,1
1,1,1,0,1,0,1,1,1,64,75.7,1,2,1
1,1,1,0,9,9,0,2,2,164,92.4,4,1,1
1,1,2,19,19,0,0,4,1,208,88.7,8,4,0
1,1,1,0,1,0,1,1,1,164,95.7,2,2,1
1,1,1,3,3,0,0,1,1,14,100,4,1,0
1,1,2,0,2,0,2,2,2,585,97.3,4,3,1
1,1,1,0,1,0,1,1,1,116,95.8,3,4,1
1,1,1,6,7,0,1,2,2,25,98.9,5,4,0
1,1,1,0,1,0,1,1,1,110,97.9,1,2,1
1,1,1,0,1,0,1,1,1,93,73.2,1,3,1
1,1,1,3,4,0,1,2,1,110,97.9,4,2,1
1,1,1,0,1,0,1,1,1,636,94.3,1,1,1
1,1,1,8,8,0,0,4,2,571,98,4,3,0
1,1,1,0,1,0,1,1,1,255,95.5,1,3,1
1,1,2,0,2,0,2,2,1,795,96.6,4,1,1
1,1,1,1,1,0,0,1,1,59,72.7,1,2,1
1,1,1,3,3,0,0,1,1,523,97.8,1,3,1
1,1,1,7,8,0,1,1,1,516,99.1,7,2,0
1,1,2,19,21,0,2,8,2,241,95.3,8,3,1
1,1,1,1,1,0,0,1,1,7,77.2,1,2,1
1,1,1,3,3,0,0,1,1,20,97.9,4,1,1
1,1,1,3,3,0,0,1,1,82,100,3,2,1
1,1,6,3,10,0,7,9,1,87,83.3,5,1,1
1,1,2,6,6,0,0,2,2,206,99.4,2,3,1
1,1,1,4,4,0,0,2,1,281,82.4,3,1,1
1,1,2,2,12,6,4,6,2,35,72,8,5,1
1,1,1,1,1,0,0,1,1,190,100,1,1,1
1,1,1,4,4,0,0,1,1,74,82.3,2,1,1
